email,name,description,founding_date,ending_date,type,major,field,member_count,description_original
himpunanmahasiswamesinitb@gmail.com,Himpunan Mahasiswa Mesin ITB,Himpunan Mahasiswa Mesin ITB adalah lembaga kemahasiswaan Program Studi Teknik Mesin yang mewadahi mahasiswa dan menyelenggarakan kegiatan kemahasiswaan.,,,Himpunan,Teknik Mesin,,,"Himpunan Mahasiswa Mesin ITB (HMM ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Mesin ITB, yang menyelenggarakan kegiatan pendidikan kemahasiswaan, keprofesian, dan pengabdian masyarakat."
ippdig_itb@km.itb.ac.id,Ikatan Pemuda Pemudi Desain Grafis ITB,"Ikatan Pemuda Pemudi Desain Grafis ITB adalah himpunan mahasiswa Desain Komunikasi Visual yang menjadi wadah bermain, belajar, berkarya, dan menyiapkan anggota untuk berprofesi.",1982-09-23,,Himpunan,Desain Komunikasi Visual,,,Ikatan Pemuda Pemudi Desain Grafis ITB (IPPDIG ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Desain Komunikasi Visual ITB.
kmil_itb@km.itb.ac.id,Keluarga Mahasiswa Infrastruktur Lingkungan ITB,Keluarga Mahasiswa Infrastruktur Lingkungan ITB adalah himpunan mahasiswa di bidang Rekayasa Infrastruktur Lingkungan yang menjadi wadah berdinamika dan kolaborasi bagi anggotanya.,2015-02-09,,Himpunan,Rekayasa Infrastruktur Lingkungan,,177,Keluarga Mahasiswa Infrastruktur Lingkungan ITB (KMIL ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Rekayasa Infrastruktur Lingkungan ITB.
atmosphaira_itb@km.itb.ac.id,Himpunan Mahasiswa Meteorologi ITB,"Himpunan Mahasiswa Meteorologi ITB adalah organisasi kemahasiswaan bagi mahasiswa Meteorologi ITB, yang mewadahi pengembangan keilmuan, keprofesian berorientasi karier, dan kesejahteraan anggota.",2008-09-19,,Himpunan,Meteorologi,,189,Himpunan Mahasiswa Meteorologi Atmosphaira ITB (HMME ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Meteorologi ITB.
nymphaea_itb@km.itb.ac.id,Himpunan Mahasiswa Biologi ITB,Himpunan Mahasiswa Biologi Nymphaea ITB (HIMABIO ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Biologi ITB.,1951-03-01,,Himpunan,Biologi,,281,
himafi_itb@km.itb.ac.id,Himpunan Mahasiswa Fisika ITB,"Himpunan Mahasiswa Fisika ITB adalah organisasi kemahasiswaan bagi mahasiswa Program Studi Fisika, yang memfasilitasi pengembangan diri, kohesi internal, kajian isu, dan kolaborasi eksternal anggota.",1967-05-06,,Himpunan,Fisika,,321,Himpunan Mahasiswa Fisika ITB (HIMAFI ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Fisika ITB.
hmdpinddesitb@gmail.com,Industrial Design Student Society ITB,"Industrial Design Student Society ITB adalah organisasi kemahasiswaan bagi mahasiswa Desain Produk yang mengembangkan potensi, menjalin kolaborasi industri, dan meningkatkan manfaat masyarakat.",1978-02-14,,Himpunan,Desain Produk,,190,Industrial Design Student Society ITB (INDDES ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Desain Produk ITB.
agrapana_itb@km.itb.ac.id,Himpunan Mahasiswa Rekayasa Pertanian 'Agrapana' ITB,Himpunan Mahasiswa Rekayasa Pertanian 'Agrapana' ITB adalah organisasi kemahasiswaan bagi mahasiswa Rekayasa Pertanian ITB yang mewadahi pengembangan kompetensi dan profesionalisme anggota.,,,Himpunan,Rekayasa Pertanian,,,Himpunan Mahasiswa Rekayasa Pertanian 'Agrapana' ITB (HIMAREKTA 'Agrapana' ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Rekayasa Pertanian ITB.
hmt_itb@km.itb.ac.id,Himpunan Mahasiswa Tambang ITB,Himpunan Mahasiswa Tambang ITB adalah lembaga kemahasiswaan di Institut Teknologi Bandung yang mewadahi dan mengembangkan mahasiswa Teknik Pertambangan.,1955-05-15,,Himpunan,Teknik Pertambangan,,263,Himpunan Mahasiswa Tambang ITB (HMT-ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Pertambangan ITB.
hmrh_itb@km.itb.ac.id,Himpunan Mahasiswa Rekayasa Hayati ITB,"Himpunan Mahasiswa Rekayasa Hayati ITB adalah organisasi kemahasiswaan program studi Rekayasa Hayati yang mewadahi pengembangan keprofesian, aktualisasi diri, dan kolaborasi sinergis berbasis empati.",2013-03-27,,Himpunan,Rekayasa Hayati,,145,Himpunan Mahasiswa Rekayasa Hayati ITB (HMRH ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Rekayasa Hayati ITB.
terra_itb@km.itb.ac.id,Himpunan Mahasiswa Teknik Geofisika ITB,"Himpunan Mahasiswa Teknik Geofisika ITB ""TERRA"" adalah lembaga kemahasiswaan yang mewadahi mahasiswa Teknik Geofisika untuk berkolaborasi, berinovasi, dan mengembangkan karakter.",1998-07-13,,Himpunan,Teknik Geofisika,,280,Himpunan Mahasiswa Teknik Geofisika TERRA ITB (HIMA TG ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Geofisika ITB.
mtm_itb@km.itb.ac.id,Himpunan Mahasiswa Teknik Material ITB,Himpunan Mahasiswa Teknik Material ITB adalah lembaga kemahasiswaan bidang MTM ITB yang mendorong swakarsa dan harmoni dalam pemberdayaan anggota untuk memberi manfaat bagi sesama.,1998-09-30,,Himpunan,MTM ITB,,195,Himpunan Mahasiswa Teknik Material ITB (MTM ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Material ITB.
gea_itb@km.itb.ac.id,Himpunan Mahasiswa Teknik Geologi ITB,Himpunan Mahasiswa Teknik Geologi ITB (HMTG ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Geologi ITB.,1955-05-06,,Himpunan,Teknik Geologi,,305,
imdi_itb@km.itb.ac.id,Ikatan Mahasiswa Desain Interior ITB,"Ikatan Mahasiswa Desain Interior ITB (IMDI ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Desain Interior ITB, yang berfokus pada pengembangan potensi anggota dan kolaborasi berbasis keilmuan desain interior.",,,Himpunan,Desain Interior,,,
hms_itb@km.itb.ac.id,Himpunan Mahasiswa Sipil ITB,"Himpunan Mahasiswa Sipil ITB adalah lembaga kemahasiswaan yang mewadahi mahasiswa Teknik Sipil di ITB untuk mengembangkan pemikiran kritis, kekeluargaan, dan semangat.",1954-05-30,,Himpunan,Teknik Sipil,,490,Himpunan Mahasiswa Sipil ITB (HMS ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Sipil ITB.
himatek_itb@km.itb.ac.id,Himpunan Mahasiswa Teknik Kimia ITB,"Himpunan Mahasiswa Teknik Kimia ITB adalah lembaga kemahasiswaan yang mewadahi pengembangan diri, kekeluargaan, dan kolaborasi mahasiswa Teknik Kimia.",2005-10-05,,Himpunan,Teknik Kimia,,358,Himpunan Mahasiswa Teknik Kimia ITB (HIMATEK ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Kimia ITB.
terikat_itb@km.itb.ac.id,TERIKAT ITB,TERIKAT ITB adalah himpunan mahasiswa Kriya Tekstil dan Keramik yang berperan sebagai wadah organisasi kemahasiswaan bagi mahasiswa bidang Kriya di ITB.,2015-03-22,,Himpunan,Kriya,,136,TERIKAT (Tembikar dan Ikat) ITB adalah organisasi kemahasiswaan bagi mahasiswa program studi Kriya ITB.
selva_itb@km.itb.ac.id,Himpunan Mahasiswa Rekayasa Kehutanan 'Selva' ITB,Himpunan Mahasiswa Rekayasa Kehutanan 'Selva' ITB adalah lembaga kemahasiswaan yang berperan dalam memfasilitasi pengembangan diri anggota dan mewujudkan keberlanjutan hutan.,,,Himpunan,Rekayasa Kehutanan,,,Himpunan Mahasiswa Rekayasa Kehutanan 'Selva' ITB (HMH 'Selva' ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Rekayasa Kehutanan ITB.
kmkl_itb@km.itb.ac.id,Keluarga Mahasiswa Teknik Kelautan ITB,"Keluarga Mahasiswa Teknik Kelautan ITB adalah lembaga kemahasiswaan Teknik Kelautan sebagai wadah peningkatan konektivitas dan pengembangan minat, bakat, serta potensi anggotanya.",1995-09-23,,Himpunan,Teknik Kelautan,,227,Keluarga Mahasiswa Teknik Kelautan ITB (KMKL-ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Kelautan ITB.
hmf_itb@km.itb.ac.id,Himpunan Mahasiswa Farmasi 'Ars Praeparandi' ITB,Himpunan Mahasiswa Farmasi 'Ars Praeparandi' ITB adalah lembaga kemahasiswaan di ITB pada bidang Sains dan Teknologi Farmasi serta berperan sebagai inkubator karya kefarmasian.,1954-12-17,,Himpunan,Sains dan Teknologi Farmasi,,436,Himpunan Mahasiswa Farmasi 'Ars Praeparandi' ITB (HMF 'Ars Praeparandi' ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Farmasi ITB.
vadra_itb@km.itb.ac.id,Himpunan Mahasiswa Teknologi Pascapanen 'VADRA' ITB,Himpunan Mahasiswa Teknologi Pascapanen 'VADRA' ITB adalah lembaga kemahasiswaan Teknologi Pasca Panen yang menjadi wadah dan fasilitator keilmuan dan kekeluargaan anggotanya.,2017-05-22,,Himpunan,Teknologi Pasca Panen,,220,Himpunan Mahasiswa Teknologi Pascapanen 'VADRA' ITB (HMPP 'VADRA' ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknologi Pascapanen ITB.
halo.vasa@gmail.com,Visual Art Student Aggregate ITB,"Visual Art Student Aggregate ITB adalah himpunan mahasiswa Seni Rupa ITB yang menjadi wadah bermain, belajar, dan berkesenian melalui tujuh studio.",,,Himpunan,Seni Rupa,,,Visual Art Student Aggregate ITB (VASA ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Seni Rupa ITB.
hmpg_itb@km.itb.ac.id,Himpunan Mahasiswa Teknik Pangan ITB,"Himpunan Mahasiswa Teknik Pangan ITB adalah lembaga kemahasiswaan yang mewadahi pengembangan potensi, keilmuan, dan keprofesian teknik pangan serta aksi sosial.",2017-05-12,,Himpunan,Teknik Pangan,,162,Himpunan Mahasiswa Teknik Pangan ITB (HMPG ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknologi Pangan ITB.
imt_itb@km.itb.ac.id,Ikatan Mahasiswa Telekomunikasi 'Signum' ITB,Ikatan Mahasiswa Telekomunikasi 'Signum' ITB (IMT 'Signum' ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Telekomunikasi ITB.,,,Himpunan,Teknik Telekomunikasi,,,
hmtb_itb@km.itb.ac.id,Himpunan Mahasiswa Teknik Bioenergi dan Kemurgi ITB,"Himpunan Mahasiswa Teknik Bioenergi dan Kemurgi ITB adalah lembaga kemahasiswaan yang mewadahi pengembangan diri, keilmuan, dan keprofesian di bidang Teknik Bioenergi dan Kemurgi.",2017-05-14,,Himpunan,Teknik Bioenergi dan Kemurgi,,137,Himpunan Mahasiswa Teknik Bioenergi dan Kemurgi RINUVA ITB (HMTB RINUVA ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Bioenergi dan Kemurgi ITB.
kmm@sbm-itb.ac.id,Keluarga Mahasiswa Manajemen ITB,"Keluarga Mahasiswa Manajemen ITB adalah lembaga kemahasiswaan bidang Manajemen yang berperan mengembangkan kepemimpinan adaptif, performa akademik, dan kesiapan karier global.",,,Himpunan,Manajemen,,,Keluarga Mahasiswa Manajemen ITB (KMM ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Manajemen ITB.
urpa_itb@km.itb.ac.id,Unit Renang dan Polo Air ITB,"Unit Renang dan Polo Air ITB adalah lembaga kemahasiswaan, wadah berbagi manfaat renang dan polo air, dengan coaching clinic dan les renang gratis untuk massa kampus.",1975-11-09,,UKM,,Olahraga dan Kesehatan,97,Unit Renang dan Polo Air ITB (URPA ITB) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi mahasiswa ITB di cabang renang dan polo air.
unitbulutangkisitb@km.itb.ac.id,Unit Bulu Tangkis ITB,Unit Bulu Tangkis ITB adalah lembaga kemahasiswaan di Institut Teknologi Bandung yang berperan sebagai wadah pengembangan minat dan bakat mahasiswa di bidang bulu tangkis.,1973-01-13,,UKM,,Olahraga dan Kesehatan,250,"Unit Bulu Tangkis ITB (UBT ITB) adalah unit kegiatan mahasiswa yang mewadahi pengembangan minat, bakat, dan prestasi bulu tangkis mahasiswa ITB."
uatm_itb@km.itb.ac.id,Unit Aktivitas Tenis Meja ITB,Unit Aktivitas Tenis Meja ITB (UATM ITB) adalah lembaga kemahasiswaan ITB yang mempersatukan mahasiswa peminat tenis meja untuk berprestasi dan mengharumkan almamater.,1974-09-28,,UKM,,Olahraga dan Kesehatan,,Unit Aktivitas Tenis Meja ITB (UATM ITB) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi tenis meja mahasiswa ITB.
iso_itb@km.itb.ac.id,ITB Student Orchestra,ITB Student Orchestra adalah unit kegiatan mahasiswa di Institut Teknologi Bandung dengan fokus utama pada penampilan musik klasik.,2005-03-02,,UKM,,Seni,176,ITB Student Orchestra (ISO) adalah unit kegiatan mahasiswa yang mewadahi pengembangan musik orkestra bagi mahasiswa ITB.
percamaitb1967@gmail.com,Persatuan Catur Mahasiswa ITB,Persatuan Catur Mahasiswa ITB (Percama ITB) adalah lembaga kemahasiswaan di ITB yang menghimpun mahasiswa minat catur dan bertujuan dikenal di lingkungan mahasiswa nasional.,1967-03-01,,UKM,,Olahraga dan Kesehatan,269,Persatuan Catur Mahasiswa ITB (PERCAMA ITB) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi catur mahasiswa ITB.
ukj_itb@km.itb.ac.id,Unit Kebudayaan Jepang ITB,"Unit Kebudayaan Jepang ITB adalah lembaga kemahasiswaan yang menjadi wadah pembelajaran kebudayaan Jepang melalui enam divisi, serta aktif berkarya dan berkolaborasi.",1997-09-19,,UKM,,Budaya,269,Unit Kebudayaan Jepang ITB (UKJ ITB) adalah unit kegiatan mahasiswa yang menjadi wadah pengenalan dan apresiasi budaya Jepang bagi mahasiswa ITB.
itb.unitkebudayaanaceh@gmail.com,Unit Kebudayaan Aceh ITB,Unit Kebudayaan Aceh ITB adalah lembaga kemahasiswaan Institut Teknologi Bandung yang berperan melestarikan kebudayaan Aceh khususnya dan kebudayaan Indonesia umumnya.,1989-08-23,,UKM,,Budaya - Paguyuban,75,Unit Kebudayaan Aceh ITB (UKA-ITB) adalah unit kegiatan mahasiswa yang melestarikan dan memperkenalkan budaya Aceh di lingkungan ITB.
kcc_itb@km.itb.ac.id,Korean Culture Club ITB,"Korean Culture Club ITB adalah lembaga kemahasiswaan di ITB yang berperan sebagai wadah bagi warga ITB untuk mengenal budaya dan bahasa Korea, termasuk budaya tradisional.",2017-03-27,,UKM,,Budaya,104,Korean Culture Club ITB (KCC) adalah komunitas mahasiswa yang menjadi wadah apresiasi budaya Korea di ITB.
atlas_itb@km.itb.ac.id,Atletik Ganesha ITB,Atletik Ganesha ITB adalah lembaga kemahasiswaan ITB yang bergerak di bidang atletik dan berperan dalam mengembangkan anggota agar senantiasa berprestasi.,1990-09-23,,UKM,,Olahraga dan Kesehatan,,Atletik Ganesha (ATLAS) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi cabang-cabang atletik mahasiswa ITB.
capoeira_itb@km.itb.ac.id,Capoeira Brasil ITB,Capoeira Brasil ITB adalah lembaga kemahasiswaan ITB yang mewadahi mahasiswa yang tertarik pada seni beladiri capoeira sebagai alternatif gaya hidup.,2004-04-10,,UKM,,Olahraga dan Kesehatan,,Capoeira Brasil ITB (CBITB) adalah unit kegiatan mahasiswa yang mengembangkan seni bela diri capoeira di kalangan mahasiswa ITB.
,Unit Aikido ITB,Unit Aikido ITB (Aikido ITB) adalah unit kegiatan mahasiswa yang mewadahi latihan dan pengembangan bela diri aikido.,,,UKM,,Bela Diri & Kebangsaan,,
gamais_itb@km.itb.ac.id,Keluarga Mahasiswa Islam ITB,"Keluarga Mahasiswa Islam ITB adalah unit kemahasiswaan yang berfokus pada syiar Islam, pengembangan diri, kepemimpinan, dan kontribusi bagi masyarakat.",1987-08-30,,UKM,,Agama,206,Keluarga Mahasiswa Islam ITB (GAMAIS ITB) adalah unit kegiatan mahasiswa yang menjadi wadah pembinaan dan kegiatan keislaman bagi mahasiswa ITB.
pstk_itb@km.itb.ac.id,Perkumpulan Seni Tari dan Karawitan Jawa ITB,Perkumpulan Seni Tari dan Karawitan Jawa ITB adalah lembaga kemahasiswaan ITB yang melestarikan serta mengembangkan seni tari dan karawitan Jawa melalui pagelaran dan kaderisasi.,1971-03-07,,UKM,,Budaya,84,Perkumpulan Seni Tari dan Karawitan Jawa ITB (PSTK ITB) adalah unit kegiatan mahasiswa yang melestarikan seni tari dan karawitan Jawa di lingkungan ITB.
mbwg_itb@km.itb.ac.id,Marching Band Waditra Ganesha ITB,Marching Band Waditra Ganesha ITB adalah organisasi kemahasiswaan berbasis minat bakat yang mengembangkan sistem keorganisasian dan keterampilan bermain marching band.,1971-05-17,,UKM,,Seni,55,Marching Band Waditra Ganesha (MBWG) adalah unit kegiatan marching band mahasiswa ITB yang aktif dalam pertunjukan dan kompetisi.
gt_itb@km.itb.ac.id,Unit Flag Football ITB - Ganesha Touchdown,"Unit Flag Football ITB - Ganesha Touchdown adalah lembaga kemahasiswaan di ITB yang menyalurkan minat, bakat, dan daya cipta mahasiswa serta membina kompetisi dan prestasi di bidang flag football.",2010-10-20,,UKM,,Olahraga dan Kesehatan,50,Unit Flag Football ITB - Ganesha Touchdown (UFF ITB) adalah unit kegiatan mahasiswa yang mengembangkan olahraga flag football di ITB.
pmk_itb@gmail.com,Persekutuan Mahasiswa Kristen ITB,"Persekutuan Mahasiswa Kristen ITB adalah lembaga kemahasiswaan ITB yang membina mahasiswa Kristen melalui kebaktian, persekutuan doa, serta perayaan Paskah dan Natal.",1990-11-30,,UKM,,Agama,1500,Persekutuan Mahasiswa Kristen ITB (PMK) adalah unit kegiatan mahasiswa yang menjadi wadah persekutuan dan pembinaan iman bagi mahasiswa Kristen ITB.
kokesma_itb@km.itb.ac.id,Koperasi Kesejahteraan Mahasiswa ITB,Koperasi Kesejahteraan Mahasiswa ITB adalah lembaga kemahasiswaan yang berperan sebagai wadah pembelajaran berwirausaha sesuai prinsip koperasi dan pendidikan entrepreneurship.,1984-11-26,,UKM,,Pendidikan,85,Koperasi Kesejahteraan Mahasiswa ITB (Kokesma) adalah koperasi mahasiswa yang bergerak di bidang kewirausahaan dan pemenuhan kebutuhan mahasiswa ITB.
8eh_itb@km.itb.ac.id,8EH Radio ITB,"8EH Radio ITB adalah lembaga kemahasiswaan berupa radio mahasiswa di ITB yang memberikan pelayanan informasi, edukasi, dan hiburan bagi generasi muda cerdas dan keren.",1963-05-20,,UKM,,Media,119,8EH Radio ITB (8EH) adalah unit kegiatan mahasiswa yang menjadi wadah pengembangan minat di bidang penyiaran radio.
