id,profil_lembaga_id,profil_km_id
0f74c0ac-b0cc-409a-aaf6-9597faeff0bc,b7d484bf-7385-4ddb-8d12-09cb02344da2,1733dac7-d658-4ef4-95a9-e70e22858a58
07a3b98e-ecda-4bdd-8ee3-4d0fc4a85cd6,1c0ba1ec-705c-4fd2-bba8-cb25a25335e5,590803d5-be56-44df-91d4-4dab84b18651
518870ba-828b-4a22-94d3-5a7ebc5d09a8,6ce000ab-0c11-40b1-9daa-6c762ddfe904,8cd3676c-bfd8-4a39-b473-eea7f5ed545a
ba42759c-daae-4a2d-b99e-1b9fbf7db79f,873965b4-d680-4da9-aa29-4640bd4e8cea,590803d5-be56-44df-91d4-4dab84b18651
3df6ab19-841f-4164-bcb8-4fa08cac233d,0419bd9e-98f6-4910-aefd-4c95470089fe,d3197070-1a11-4ee3-b592-08f0509817e7
e74293ca-7180-4db9-9c55-8cd92998dfe4,0158e788-05f3-4afd-951b-0c5a22e22880,1733dac7-d658-4ef4-95a9-e70e22858a58
8a9dc6f7-a105-436f-b7d5-153257bb01fc,103b695a-6be0-4cd4-9c60-5cc22577beb6,1733dac7-d658-4ef4-95a9-e70e22858a58
630fe16d-e0e5-41a3-a19b-d3338aa2412b,bc304bc7-4be9-41ad-a6ef-6040048f87d5,1733dac7-d658-4ef4-95a9-e70e22858a58
4280bb66-6a66-4682-bb8e-a674b779a1f9,60a0176a-ecbb-4f04-88aa-c8d8062df0a1,590803d5-be56-44df-91d4-4dab84b18651
5955188e-50e3-436e-a977-5260f437b56c,bc304bc7-4be9-41ad-a6ef-6040048f87d5,8cd3676c-bfd8-4a39-b473-eea7f5ed545a
6459b82f-c25d-4d4e-9e51-99a83b93ed7c,1d603f54-448c-405e-8707-234ee7a2cd09,1733dac7-d658-4ef4-95a9-e70e22858a58
c3c0075c-9522-495c-b89a-1b99f37a7b26,447382ba-190a-429a-9ad4-ab7dff9ab2bd,590803d5-be56-44df-91d4-4dab84b18651
a1525dd8-0b37-4f0e-9846-baa8795d2b55,2e58351f-f7db-41ce-89b8-f792a83cba0a,d3197070-1a11-4ee3-b592-08f0509817e7
7542b553-3f11-4e17-833a-09a7eeb2cb23,270d7297-1b03-47da-9579-1605d5265c35,590803d5-be56-44df-91d4-4dab84b18651
f5368445-1a03-4aa9-aafc-bc807c9348d3,270d7297-1b03-47da-9579-1605d5265c35,1733dac7-d658-4ef4-95a9-e70e22858a58
b4d5be59-fb18-4709-aff8-56ceb190c8fa,959bbfe0-1ec3-4445-99ff-82afceba45af,8cd3676c-bfd8-4a39-b473-eea7f5ed545a
cd7c9244-acba-4402-abd9-306ac175df29,a3d043d1-d982-4cb7-8398-c76f6f0302dd,1733dac7-d658-4ef4-95a9-e70e22858a58
346eeab6-6c1e-47e4-b60f-0037e0a7a886,60a0176a-ecbb-4f04-88aa-c8d8062df0a1,d3197070-1a11-4ee3-b592-08f0509817e7
7b729250-0f36-4620-b489-a5c2ab1b5503,1e7dfe68-ead9-487f-bc3b-a445dadf7caf,1733dac7-d658-4ef4-95a9-e70e22858a58
35bfc2de-bc39-40d7-b9ae-393b7636fca2,d9ab4c7f-2a50-47ed-8282-b697f64ee3c5,d3197070-1a11-4ee3-b592-08f0509817e7
cabc79e0-e453-4d58-ae9d-b5e71783cd9f,f0cd7d03-8046-47b2-ba81-b1e19acb1a43,d3197070-1a11-4ee3-b592-08f0509817e7
575b68e5-328c-49ae-a9d5-e2ea91d75c57,5c8d6766-56b2-4c76-af17-a5d986a023d1,590803d5-be56-44df-91d4-4dab84b18651
97242d38-7eda-459a-9b07-976e7fae79b4,429143a5-8040-4096-bb34-4df20b140b33,590803d5-be56-44df-91d4-4dab84b18651
324ada26-7fd2-49d8-be7b-53e551498366,43e2c438-74e4-4efd-9864-724a58ef9f6f,1733dac7-d658-4ef4-95a9-e70e22858a58
4fd568df-39b2-4e3c-a629-2e31a4db939f,7903cd76-d254-44ef-ae1c-5e3eb9d97156,1733dac7-d658-4ef4-95a9-e70e22858a58
