id,event_id,user_id,position,division,status,created_at,updated_at
8ea4ada7-1564-4ac3-bd17-70ed2003396e,event-130,user-33,Sekretaris,Keamanan,Declined,2026-06-11T17:49:53.095023,2025-12-10T15:33:20.576751
6dca2f7f-d25e-4661-ade6-020d717c5044,event-128,user-53,Wakil Ketua,Transportasi,Declined,2025-11-16T21:20:31.930156,2025-10-06T20:50:28.995758
e61ac70a-90d1-4b44-8f10-a7cd249fc47e,event-49,user-61,Anggota,Transportasi,Pending,2026-06-14T07:31:23.542871,2025-12-07T20:03:54.115825
07f44289-dfd7-4b0d-a3c2-d4f07255dd3f,event-119,user-98,Bendahara,Konsumsi,Pending,2025-11-06T23:25:05.827506,2026-06-14T10:52:04.274999
9c8c88a9-8964-4caf-af6a-d0256a9dedf0,event-44,user-28,Wakil Ketua,Dokumentasi,Accepted,2026-05-16T07:52:32.018051,2026-06-22T02:17:09.767026
39f5ee71-ab55-4786-accf-ad74c458b35d,event-25,user-78,Bendahara,Konsumsi,Declined,2026-06-03T05:06:44.392647,2026-02-18T02:56:00.609398
73cf260d-ee8e-42d1-b799-cd6d422d5b0e,event-44,user-71,Wakil Ketua,Konsumsi,Accepted,2025-09-23T20:21:48.116779,2025-11-29T02:31:44.716431
4bae6121-bbca-454e-9b99-d6c464aea7fd,event-70,user-99,Sekretaris,Transportasi,Accepted,2026-01-16T23:55:30.807612,2026-06-06T00:00:46.694000
9c9e1a58-c6b4-4aa6-9c4b-b03d18cc9ea1,event-65,user-93,Staff,Konsumsi,Pending,2025-09-14T19:31:26.686311,2026-06-26T12:51:48.630788
bdd75c2b-9adf-4f8c-872f-b735a3306392,event-136,user-24,Bendahara,Keamanan,Declined,2026-04-08T02:25:59.394950,2025-11-10T01:46:26.301040
59b3d9c4-5c05-420d-ae98-bfeb8cd9b1ba,event-139,user-91,Wakil Ketua,Humas,Pending,2026-06-30T01:18:00.068061,2026-03-26T02:32:10.332196
cb03f78b-dfe7-4da9-9ee8-4ecab9419b31,event-121,user-39,Koordinator,Perlengkapan,Declined,2025-09-04T07:18:36.664974,2026-03-09T19:03:28.619165
9b938b85-3543-4cbe-b6f9-6f7eb2825ceb,event-16,user-85,Sekretaris,Transportasi,Accepted,2026-05-22T18:24:42.839679,2025-11-05T05:52:44.190845
f958239b-a997-4914-9a7e-b53fd3ed4df3,event-98,user-81,Anggota,Acara,Accepted,2026-05-06T17:47:13.394580,2026-04-07T01:10:16.096819
2ed76c63-9e31-43be-8825-380adaf715b4,event-125,user-63,Sekretaris,Perlengkapan,Declined,2025-10-11T08:54:33.541067,2026-07-20T17:14:47.400074
abd899d5-1641-4fa5-bf5d-eb0ef8edd9e5,event-71,user-84,Wakil Ketua,Transportasi,Pending,2025-12-15T20:54:16.721902,2026-02-24T10:25:09.698216
afdb7ff9-8144-4fde-8e8c-40f6a0d05efa,event-49,user-87,Staff,Perlengkapan,Pending,2026-07-09T04:23:51.657411,2025-10-04T18:48:32.767432
aae450b1-1728-4563-bafd-5096bfccee6d,event-81,user-98,Ketua,Humas,Declined,2026-01-05T13:07:00.264224,2026-06-14T00:42:33.448009
da7b742e-0d17-49dd-a5ea-140201bf2bad,event-126,user-100,Anggota,Perlengkapan,Declined,2025-09-18T22:52:40.711823,2026-06-30T04:40:19.414786
18a462ab-e3d5-4bd7-af2a-2ca4bcabf1ba,event-79,user-58,Ketua,Acara,Declined,2026-07-18T02:29:43.873303,2026-03-17T11:56:06.164365
8e4ae576-7812-4d0d-bdfa-369ee464b69d,event-111,user-58,Bendahara,Perlengkapan,Accepted,2026-08-05T09:11:00.893641,2026-03-17T18:57:42.310431
8ed50281-925c-490e-a131-f9186d83d48e,event-121,user-50,Wakil Ketua,Konsumsi,Pending,2025-11-18T14:21:44.525787,2026-08-01T08:28:53.517593
a9d3f2e6-082f-46a5-adc2-d5bd9b67a640,event-97,user-80,Bendahara,Transportasi,Pending,2026-03-27T09:55:58.116145,2026-01-31T18:34:34.006299
c3509165-c8d9-414e-b31b-79e40bf1eff2,event-131,user-97,Bendahara,Transportasi,Declined,2025-09-15T17:16:17.370863,2026-04-24T17:58:11.510905
4e59d273-315b-432f-a060-88a07aa3c709,event-97,user-42,Sekretaris,Acara,Pending,2026-01-07T04:25:30.869382,2026-04-08T08:12:04.530880
a126dd39-fddc-4ac6-b605-002bd6c73334,event-25,user-84,Staff,Keamanan,Declined,2025-10-16T10:32:39.812396,2025-10-07T21:22:22.840678
