id,org_id,name,description,image,background_image,start_date,end_date,status,oprec_link,location,participant_limit,participant_count,is_highlighted,is_organogram,created_at,updated_at
event-11,lembaga-8,Seminar AI 2005,"Accusantium placeat hic illo corrupti deserunt nam. Odio nam quasi mollitia ea enim.
Quibusdam aperiam consequuntur ducimus.
Iure temporibus tempore molestias. Error asperiores odit.",https://picsum.photos/800/600,https://picsum.photos/1200/800,2027-03-02T17:13:48.963733,2027-03-04T02:19:26.222646,On going,,Lab Komputer,241,63,False,False,2027-01-26T17:56:07.499332,2027-01-31T17:13:48.641406
event-12,lembaga-2,Exhibition Data Science 2008,"Marriage consider whom recognize possible. Action both material give or. Mr serious view simply.
Community remain picture thank rise find particularly partner. Message laugh price member knowledge could college.",https://placekittens.com/800/600,https://dummyimage.com/1200x800,2027-04-11T10:16:13.116369,2027-04-13T00:33:40.699708,Coming Soon,,Lab Komputer,128,62,False,True,2027-03-03T22:02:38.520368,2027-03-12T10:16:13.324971
event-13,lembaga-2,Conference Data Science 2006,"Quo unde praesentium et nam quaerat aperiam. Dolor incidunt accusantium blanditiis.
Nulla dignissimos ullam nemo. Laudantium nihil perferendis. Pariatur blanditiis optio vel cumque eum id dolor.
Molestias sit molestias voluptatem neque alias.",https://picsum.photos/800/600,https://dummyimage.com/1200x800,2027-03-09T02:01:23.434137,2027-03-09T03:23:43.925879,Ended,,Gedung A,64,31,False,True,2027-02-22T19:06:26.424709,2027-02-07T02:01:23.412654
event-14,lembaga-3,TechFest Web Dev 1998,"Illum vitae hic quaerat. Consequatur quam eum soluta possimus voluptatem atque.
Sunt repudiandae debitis unde molestiae aliquid. Facilis perspiciatis atque quis excepturi a.",https://dummyimage.com/800x600,https://placekittens.com/1200/800,2027-06-01T10:18:17.300228,2027-06-03T19:02:53.694279,On going,https://pd.org/,Gedung B,138,46,False,True,2027-05-19T17:19:38.317412,2027-05-02T10:18:17.821047
event-15,lembaga-3,Workshop IoT 2000,"Country prepare class laugh. Military to people line for appear.
While law almost else bit. Never staff page art.
Only notice hair for offer foot although. Design case deal. Still politics put local husband.",https://placekittens.com/800/600,https://dummyimage.com/1200x800,2026-12-15T01:33:31.256073,2026-12-16T20:16:40.205326,Ended,https://www.cv.mil.id/,Lab Komputer,60,55,False,True,2026-12-12T04:17:49.345406,2026-11-15T01:33:31.799207
event-16,lembaga-8,Exhibition Web Dev 1976,"Quasi eius tenetur dolor laudantium consequatur. A perferendis deleniti libero esse dolorem quidem. Soluta nisi nobis laborum error.
Inventore sunt recusandae beatae nemo adipisci. Voluptatibus delectus aperiam dolores eaque quos possimus.",https://dummyimage.com/800x600,https://picsum.photos/1200/800,2026-10-12T11:51:53.353343,2026-10-13T03:41:54.337986,On going,,Aula Utama,178,2,False,True,2026-08-28T05:39:45.896027,2026-09-12T11:51:53.124418
event-17,lembaga-4,Workshop Cyber Security 1984,"Paper tax player. Account fast specific. Work during cold avoid be.
Herself actually road increase at. Everybody raise way notice economic nation. Visit Mr appear reality set yet wait.
Hair option may agent two.",https://dummyimage.com/800x600,https://placekittens.com/1200/800,2027-02-25T05:06:50.839132,2027-02-26T23:01:13.318835,Coming Soon,http://manning.com/,Online (Zoom),255,12,False,True,2027-01-01T21:29:12.971730,2027-01-26T05:06:50.420348
event-18,lembaga-18,Bootcamp AI 2008,"Church describe teacher performance. Reduce alone raise history.
Defense edge quite might oil stop computer.
Southern available rock run student even. Research detail ground decide more task.
Human employee behavior really. Add determine bag them industry fall.",https://picsum.photos/800/600,https://picsum.photos/1200/800,2026-09-24T18:59:10.358339,2026-09-30T14:59:28.082857,Coming Soon,,Gedung A,441,63,False,False,2026-08-10T00:31:00.233381,2026-08-25T18:59:10.050185
event-19,lembaga-11,Workshop Web Dev 2001,"Praesentium modi veniam occaecati iusto commodi placeat. Incidunt eaque molestias ducimus. Exercitationem aut voluptatum.
Perferendis consequatur aliquid tempora. Accusamus incidunt earum saepe ratione doloribus a ea.",https://placekittens.com/800/600,https://placekittens.com/1200/800,2027-04-13T23:04:37.839424,2027-04-15T01:09:51.798494,Coming Soon,https://www.perum.com/,Aula Utama,124,77,False,True,2027-03-23T23:46:28.794781,2027-03-14T23:04:37.657861
event-20,lembaga-11,Hackathon IoT 1989,"Temporibus fuga porro neque ipsa. Ab esse vero sit. Voluptas suscipit officia vitae corporis itaque.
Nesciunt dicta sit magni officia ab voluptates. Minus nesciunt quis. Labore vel repellendus accusamus.",https://placekittens.com/800/600,https://placekittens.com/1200/800,2027-04-25T15:04:56.934923,2027-05-01T05:14:10.705680,On going,http://gonzalez.net/,Online (Zoom),435,77,False,False,2027-04-03T20:48:45.105623,2027-03-26T15:04:56.317248
event-21,lembaga-1,Conference Cyber Security 1974,"Scene commercial actually anyone. He once relationship.
Add sure present trouble. Serious peace put perform.
Easy rise various city could finish. Trip perhaps newspaper among how past message.",https://placekittens.com/800/600,https://picsum.photos/1200/800,2027-01-30T00:36:22.633800,2027-02-01T05:41:23.598480,Coming Soon,https://lawrence.org/,Ruang Seminar,433,60,True,False,2026-12-05T21:57:17.943681,2026-12-31T00:36:22.919710
event-22,lembaga-7,Exhibition Cyber Security 1991,"Consequatur quia atque officia.
Alias debitis nemo ad alias dicta quibusdam. Itaque eos reiciendis voluptatibus hic rem. Animi optio veniam voluptates id animi.
Consectetur tempore dolor dolor porro. Odio voluptatem atque fugiat. Laudantium aut at sed consequuntur saepe esse.",https://placekittens.com/800/600,https://picsum.photos/1200/800,2027-05-12T20:48:45.479433,2027-05-15T20:30:17.720783,Ended,http://www.robertson.com/,Lapangan Kampus,493,41,False,False,2027-04-14T02:02:55.898761,2027-04-12T20:48:45.568006
event-23,lembaga-13,Workshop Data Science 2019,"Old begin fly down short. Physical join take image certainly.
Three step join low point movement. Quickly suggest party ask bad. She town value over part.
Child everybody region show again. Own out large three since certain. Return attorney story share nice most. Foreign such chair thank over.",https://placekittens.com/800/600,https://picsum.photos/1200/800,2026-10-05T13:27:11.356109,2026-10-09T21:56:51.867122,Ended,,Gedung B,367,56,False,False,2026-08-09T11:05:02.143953,2026-09-05T13:27:11.178016
event-24,lembaga-20,TechFest Cyber Security 2000,"Itaque labore illo voluptas velit sed nemo. Impedit inventore placeat voluptates.
Aut dicta nobis at optio. Ipsam quae iusto tempora nam. Quia corporis similique provident alias.
Saepe libero hic nisi ut deserunt. Quaerat consequatur adipisci corrupti sunt error.",https://dummyimage.com/800x600,https://picsum.photos/1200/800,2026-12-13T07:32:03.366714,2026-12-14T22:52:30.533421,Coming Soon,,Gedung A,252,35,False,False,2026-11-29T11:15:26.347153,2026-11-13T07:32:03.141313
event-25,lembaga-19,TechFest Data Science 2021,"Autem necessitatibus dolores voluptas quas nihil. Animi doloremque cupiditate labore consectetur. Quos ipsum iure.
Reiciendis autem modi minima fugiat ut. Laboriosam aliquam aspernatur impedit provident repellat id.
Adipisci earum nihil laborum eaque nostrum cumque quis.",https://picsum.photos/800/600,https://picsum.photos/1200/800,2026-09-09T11:48:32.366945,2026-09-11T18:44:01.505608,On going,https://pd.biz.id/,Ruang Seminar,363,58,True,False,2026-07-23T16:28:02.906896,2026-08-10T11:48:32.488603
event-26,lembaga-6,Hackathon Mobile 1979,"Aliquam laboriosam laborum rem odio quia. Itaque vero nisi repellat.
Quos eaque neque magni perferendis. Nostrum culpa tenetur quos tempore. Saepe autem saepe debitis omnis aperiam eligendi nemo.
Culpa eos id qui. Deleniti magni voluptate ex nihil in ad.",https://dummyimage.com/800x600,https://placekittens.com/1200/800,2027-06-23T20:54:06.121357,2027-06-24T05:10:48.427028,Ended,,Ruang Seminar,297,97,False,False,2027-06-03T08:50:57.830178,2027-05-24T20:54:06.906316
event-27,lembaga-10,Seminar Blockchain 2008,"Decade alone responsibility change. Institution vote probably focus challenge. Student ground month.
School more oil once. Nation on north else.
Focus data involve offer two off. Continue various her individual.
Shake past weight notice. Politics support after under scientist people parent study.",https://placekittens.com/800/600,https://picsum.photos/1200/800,2027-01-14T03:11:29.798676,2027-01-15T07:05:36.678854,On going,,Gedung B,331,89,False,True,2026-12-25T23:09:21.598998,2026-12-15T03:11:29.642118
event-28,lembaga-11,Seminar Web Dev 1970,"Accusamus accusamus voluptas eos quibusdam odio.
Animi ullam sequi iste quidem veniam. Assumenda nemo hic amet nihil. At pariatur alias doloribus.
Voluptate itaque quaerat nam assumenda sed. Laudantium ea tempora veniam nostrum.",https://picsum.photos/800/600,https://picsum.photos/1200/800,2027-04-02T17:45:43.167857,2027-04-05T14:13:12.479216,Coming Soon,,Gedung B,461,63,False,False,2027-03-28T11:20:00.384693,2027-03-03T17:45:43.897894
event-29,lembaga-4,TechFest Cloud Computing 1981,"Maintain attention week part. And upon many game.
Couple prove loss change carry consider assume writer. Often light personal trial player.
Like man suddenly attorney boy. Enjoy true whose wind other right.
Forward nearly value something service that material. Material office out star baby give.",https://dummyimage.com/800x600,https://picsum.photos/1200/800,2026-12-05T15:18:42.410674,2026-12-09T20:21:40.362389,Ended,https://www.pd.net/,Lapangan Kampus,134,47,False,False,2026-11-24T14:06:28.049729,2026-11-05T15:18:42.319315
event-30,lembaga-3,Competition Cloud Computing 2003,"War list behavior brother sure everybody enjoy game. Up security threat. Many authority teach give central travel building.
Scientist down ever he. Travel black training.
Make loss five field green. Rich technology chance development either.",https://dummyimage.com/800x600,https://picsum.photos/1200/800,2027-08-02T07:29:58.261021,2027-08-04T07:27:26.618267,Ended,,Ruang Seminar,356,43,False,False,2027-07-30T03:27:05.666841,2027-07-03T07:29:58.655719
event-31,lembaga-10,Exhibition Cloud Computing 1995,"Eat tonight indicate use. Investment staff treatment lawyer. Face himself outside under simple continue.
Trade store radio kid bar present food. Note star himself. Mean live western day.
Politics along cup hand interview wife mission. Build draw PM admit. Much increase should lead true war.",https://placekittens.com/800/600,https://picsum.photos/1200/800,2026-12-05T08:31:30.362138,2026-12-06T06:49:42.717039,Coming Soon,http://cv.int/,Lapangan Kampus,430,77,False,True,2026-11-07T01:06:37.822042,2026-11-05T08:31:30.855477
event-32,lembaga-13,TechFest Cloud Computing 1974,"Edge local moment radio language task. Cut rest while. Civil require right bring.
Seat authority drive expert song summer. Daughter much food. Shake tonight rule room ability.
Purpose term also team send. Ten build author minute bill. Clearly hope travel.",https://picsum.photos/800/600,https://picsum.photos/1200/800,2027-02-19T07:50:17.373171,2027-02-21T05:38:03.550322,Ended,https://cv.co.id/,Gedung A,176,67,False,False,2027-02-15T12:53:21.219819,2027-01-20T07:50:17.860313
event-33,lembaga-12,Bootcamp IoT 2021,"Veritatis maiores quisquam a atque quae. Aut aspernatur aliquid architecto ipsum nostrum. Minus dolores quas iste rerum eum architecto.
Sequi aperiam amet autem assumenda possimus a ratione. Voluptatibus officiis nesciunt voluptas cum impedit modi minus.",https://placekittens.com/800/600,https://dummyimage.com/1200x800,2027-07-01T17:49:57.772388,2027-07-02T05:23:56.726401,Ended,,Lapangan Kampus,245,39,False,False,2027-06-21T00:22:49.239098,2027-06-01T17:49:57.307314
event-34,lembaga-3,Seminar Data Science 1984,"Eos hic magni quisquam in. Ipsam praesentium illum mollitia. Libero magni illo illo tempore.
Eos iure laudantium atque hic fugit. Amet nostrum repudiandae nisi.
Voluptatem iusto enim ea ipsam ratione excepturi. Molestiae id est omnis quasi non natus. Modi alias libero.",https://placekittens.com/800/600,https://picsum.photos/1200/800,2026-11-25T15:44:01.046374,2026-11-27T03:34:35.274469,Ended,https://wilson-hill.org/,Banda Aceh,460,62,False,True,2026-10-27T12:31:42.932585,2026-10-26T15:44:01.972399
event-35,lembaga-8,Workshop AI 2013,"Crime probably throw cut. Economic beautiful population place.
Community artist consumer likely. Plant into event.
Fund here upon add town. Yourself across rich finish. According deal worry hundred personal trip resource treat.",https://dummyimage.com/800x600,https://picsum.photos/1200/800,2026-11-06T09:41:17.910833,2026-11-08T10:35:46.897899,On going,,Gedung A,307,41,False,False,2026-10-12T13:44:22.938622,2026-10-07T09:41:17.397605
event-36,lembaga-11,Competition Cyber Security 1979,"Unde voluptate amet aperiam laborum enim. Voluptas nam quae reiciendis tempore deserunt.
Reiciendis eaque delectus aliquid magnam maxime deserunt. Consectetur error cupiditate facere temporibus tenetur.
Esse ad odio non quasi iure culpa. Voluptatum quidem eius id debitis.",https://placekittens.com/800/600,https://picsum.photos/1200/800,2026-09-15T04:32:35.743317,2026-09-17T19:32:21.890035,Ended,http://www.bradshaw-morales.com/,Gedung B,331,69,False,False,2026-07-18T06:25:12.462863,2026-08-16T04:32:35.702137
event-37,lembaga-14,Workshop Cyber Security 1979,"Fund seven accept scene action glass. Election represent decide difficult. Contain book design oil modern walk.
Themselves suffer teacher any process apply view. Choose seven education challenge.",https://placekittens.com/800/600,https://picsum.photos/1200/800,2027-02-02T23:57:26.277758,2027-02-05T17:27:37.647691,Coming Soon,http://allen-craig.net/,Lab Komputer,253,4,True,False,2026-12-16T22:29:16.290869,2027-01-03T23:57:26.051928
event-38,lembaga-18,Seminar Cloud Computing 2025,"Together increase politics have art analysis appear. South their pay whose section begin floor. Into pick special down plan care serious.
Million huge wait first majority travel.
Piece worry represent those wide. Note successful since adult make including. In value build effort amount whether food.",https://picsum.photos/800/600,https://dummyimage.com/1200x800,2026-12-29T22:44:40.077558,2026-12-30T00:32:39.501801,Coming Soon,http://www.cox-decker.com/,Gedung B,345,57,False,True,2026-11-30T23:28:09.961393,2026-11-29T22:44:40.780885
event-39,lembaga-14,Workshop Web Dev 1977,"Doloribus nulla magnam reiciendis quae harum veritatis occaecati.
Possimus excepturi cumque quidem eius. Animi enim quisquam consequuntur doloribus. Minima reiciendis sequi magnam consectetur.
Atque molestias eligendi ab corporis laudantium aperiam. Ut corrupti architecto.",https://placekittens.com/800/600,https://dummyimage.com/1200x800,2026-12-04T06:47:07.141018,2026-12-10T00:34:07.184161,Ended,,Gedung A,70,51,False,True,2026-11-08T19:42:06.017117,2026-11-04T06:47:07.793288
event-40,lembaga-3,Competition IoT 2013,"Again attention boy color room once far place. Once small meeting here identify. State standard music so.
Audience alone get matter wind south. Such keep management war heart idea bit. Throw himself share show site general among. Partner service American statement adult.",https://picsum.photos/800/600,https://picsum.photos/1200/800,2026-09-14T13:33:17.033683,2026-09-15T22:58:38.165320,On going,https://www.rowland.biz/,Lapangan Kampus,438,80,True,True,2026-09-12T11:02:02.491644,2026-08-15T13:33:17.091268
event-41,lembaga-11,Workshop Data Science 1973,"Say resource media structure. It grow happen check. Fill above seek know glass.
Strategy spring give rise together physical. Music really matter resource claim customer. Cold investment success who six.
Magazine small enter better three land. Onto house operation development.",https://placekittens.com/800/600,https://dummyimage.com/1200x800,2026-10-14T14:32:48.139550,2026-10-14T19:43:12.706425,Coming Soon,https://www.bailey.com/,Ericaborough,61,79,False,False,2026-08-31T03:05:39.287084,2026-09-14T14:32:48.511001
event-42,lembaga-1,Exhibition Blockchain 1991,Nisi corporis exercitationem perferendis quaerat aliquid soluta. Perspiciatis dolorum itaque incidunt animi sunt eos. Error voluptates vitae optio cupiditate.,https://picsum.photos/800/600,https://dummyimage.com/1200x800,2026-09-30T18:06:44.491569,2026-10-05T19:05:56.051737,On going,,Lapangan Kampus,70,90,False,True,2026-08-26T03:17:51.176708,2026-08-31T18:06:44.272925
event-43,lembaga-7,Bootcamp IoT 2019,"Dolore beatae dolore eum.
Dolor inventore nesciunt vero ex mollitia.
Quas inventore officia reprehenderit rem. Quos accusantium provident quisquam autem iusto.
Non occaecati similique rerum quos ipsam sapiente. Incidunt accusantium aliquid consequuntur inventore suscipit.",https://placekittens.com/800/600,https://picsum.photos/1200/800,2027-07-21T22:51:29.272346,2027-07-25T11:21:16.068975,Coming Soon,,Pontianak,387,33,False,True,2027-07-18T21:09:33.792171,2027-06-21T22:51:29.996575
event-44,lembaga-11,Hackathon Data Science 2009,"Nisi porro doloremque temporibus sapiente. Sequi commodi sunt excepturi. Cum porro officiis ipsa.
Similique voluptates aperiam vitae. Quidem quo totam quod alias reiciendis iusto facilis.
Perspiciatis qui voluptas soluta. Assumenda quibusdam vel officia.",https://picsum.photos/800/600,https://dummyimage.com/1200x800,2027-02-05T07:37:44.318854,2027-02-06T05:06:15.925153,Coming Soon,,Aula Utama,119,10,False,True,2027-01-23T23:38:25.005627,2027-01-06T07:37:44.740860
event-45,lembaga-1,Competition AI 2011,"Agree week pattern break least talk early. Anything baby hard concern since line. Fund important everyone drive. Weight company any home theory sign ability.
Also paper rate election against west already. When reason future several now list already.",https://dummyimage.com/800x600,https://placekittens.com/1200/800,2027-05-10T07:44:07.104422,2027-05-11T01:07:32.500593,On going,https://perum.net.id/,Ruang Seminar,318,14,False,True,2027-03-30T14:59:44.312607,2027-04-10T07:44:07.988106
event-46,lembaga-9,Hackathon Mobile 1981,"Nihil itaque sunt ea amet cumque. Temporibus repellat commodi. Repellat praesentium sit non mollitia nobis.
Tenetur iusto debitis earum dolores omnis facilis. Fugit sapiente eveniet maxime ex animi dicta tenetur.
Est doloribus cumque aliquid non nulla est.",https://dummyimage.com/800x600,https://placekittens.com/1200/800,2027-03-22T16:19:15.168026,2027-03-23T23:36:44.920017,On going,,Ruang Seminar,98,57,False,True,2027-01-25T04:19:04.426301,2027-02-20T16:19:15.852510
event-47,lembaga-14,Competition AI 1987,"Discuss benefit thus if little month summer. Full stuff standard determine mind. According after national size mouth.
Book customer teacher her believe opportunity up. Anyone man market boy spend Mrs.",https://placekittens.com/800/600,https://dummyimage.com/1200x800,2027-01-22T11:32:58.056756,2027-01-24T18:12:35.781060,Ended,http://perum.ac.id/,Online (Zoom),368,98,False,False,2027-01-12T07:36:13.160680,2026-12-23T11:32:58.611268
event-48,lembaga-5,Competition IoT 1986,"Time carry mission positive. Style growth field send treat anything. Get bad often fine until write.
Organization foreign defense method. Prepare enough defense skill name plant. Effort face nor for moment interview.",https://dummyimage.com/800x600,https://dummyimage.com/1200x800,2027-07-02T08:04:03.215469,2027-07-03T02:35:59.371746,On going,https://www.pd.go.id/,Lab Komputer,284,38,True,True,2027-05-26T04:45:26.286018,2027-06-02T08:04:03.064140
event-49,lembaga-5,TechFest Data Science 2024,Doloremque recusandae nobis necessitatibus qui nemo ut. Voluptatum quod eos ea vitae. Ipsum aspernatur ab veritatis incidunt blanditiis.,https://picsum.photos/800/600,https://picsum.photos/1200/800,2026-10-28T05:59:14.661739,2026-10-29T04:17:55.627758,On going,,Online (Zoom),199,82,False,True,2026-09-15T00:19:38.738235,2026-09-28T05:59:14.243002
event-50,lembaga-8,Competition Data Science 1970,"Eveniet rerum iure doloremque. Quam possimus voluptate libero vel at.
Quasi debitis minima et aperiam quisquam esse. Praesentium magnam doloremque optio.
Nostrum officiis maiores dolorem. Repudiandae dolore nam eius vitae hic veritatis. Ad ab ipsum magni quos officiis in.",https://dummyimage.com/800x600,https://picsum.photos/1200/800,2027-01-30T20:02:36.422970,2027-02-01T15:38:21.217586,Ended,,Aula Utama,320,10,True,False,2026-12-17T20:24:22.813402,2026-12-31T20:02:36.585018
event-51,lembaga-4,Bootcamp AI 1988,"Veniam asperiores laboriosam asperiores quaerat ab corporis labore. Provident earum deleniti nisi.
Amet perspiciatis voluptatum velit quam esse quibusdam. Ad doloremque expedita adipisci velit ipsum corporis. Itaque a unde quas.",https://picsum.photos/800/600,https://dummyimage.com/1200x800,2027-03-23T14:31:36.337693,2027-03-23T21:34:30.829861,Coming Soon,https://www.perum.net.id/,Gedung B,74,100,False,False,2027-01-23T12:51:17.018540,2027-02-21T14:31:36.285616
event-52,lembaga-15,Hackathon Cloud Computing 2004,"Harum quaerat quasi laboriosam rerum sequi delectus nesciunt. Ea sed magni assumenda eos architecto suscipit. Excepturi dolorem quis.
Perferendis velit temporibus quae ullam nisi voluptate. Nihil necessitatibus autem quis.",https://picsum.photos/800/600,https://picsum.photos/1200/800,2027-06-14T11:57:47.770360,2027-06-16T00:25:16.934505,Ended,,Ruang Seminar,388,31,False,False,2027-04-22T16:36:54.373522,2027-05-15T11:57:47.203113
event-53,lembaga-5,Workshop AI 1981,"Ullam voluptate doloremque beatae reiciendis. Iusto aut natus impedit occaecati necessitatibus cum natus. Tenetur facere doloribus et delectus deserunt delectus.
Provident accusamus veniam temporibus. In hic delectus sunt pariatur.",https://picsum.photos/800/600,https://picsum.photos/1200/800,2027-05-02T00:16:45.983694,2027-05-04T05:13:51.061329,Coming Soon,,Gedung B,156,38,False,False,2027-04-30T00:14:25.709574,2027-04-02T00:16:45.059428
event-54,lembaga-3,Exhibition Web Dev 1998,"Laboriosam dolore ducimus quam expedita. Eius doloribus amet facere impedit accusantium.
Accusantium optio labore nobis eveniet vel nostrum ratione. Ratione deserunt nostrum veniam corrupti dolorum quaerat.",https://picsum.photos/800/600,https://dummyimage.com/1200x800,2026-08-21T05:39:37.246689,2026-08-24T07:36:47.242407,On going,http://www.pt.int/,Lab Komputer,408,48,True,False,2026-08-05T18:09:43.097065,2026-08-04T02:04:48.792501
event-55,lembaga-14,Seminar AI 1990,"Harum iste itaque assumenda ipsum velit amet. Perspiciatis facere fugit.
Voluptatum earum doloribus sequi beatae qui. Eum iure voluptates architecto accusamus reprehenderit.
Inventore ullam iusto. Assumenda saepe corporis ad sapiente reiciendis.",https://dummyimage.com/800x600,https://picsum.photos/1200/800,2026-10-28T19:45:31.151509,2026-10-29T03:27:18.031577,On going,,Gedung B,170,77,True,False,2026-10-11T17:58:49.810556,2026-09-28T19:45:31.541701
event-56,lembaga-7,Competition Cyber Security 2019,"Perferendis deleniti facere expedita provident voluptate. Repudiandae rerum quae ut. Enim voluptatum culpa assumenda.
Illum possimus occaecati facere illum. Autem voluptate blanditiis dolores sunt aliquam facilis.",https://dummyimage.com/800x600,https://picsum.photos/1200/800,2026-10-13T23:25:48.678509,2026-10-14T09:25:32.955057,Ended,,Lapangan Kampus,413,88,True,True,2026-08-29T21:02:34.301412,2026-09-13T23:25:48.695097
event-57,lembaga-5,TechFest Data Science 2023,"Development center since. Nature father player.
Debate scene people firm scientist among about. Pick above attack assume.
See card wonder network environmental. Expert power trade away.
Break know significant meet order. Thought later outside concern house rest nothing. Finish sit one course.",https://picsum.photos/800/600,https://placekittens.com/1200/800,2027-01-24T11:40:43.481885,2027-01-28T02:24:46.897963,On going,http://stevens.com/,Ruang Seminar,209,100,False,False,2026-12-11T01:30:44.060578,2026-12-25T11:40:43.403259
event-58,lembaga-18,Competition Mobile 1995,"Drive standard wife per remain. Whether pressure why everyone player.
Rather method whose wind my thousand. Why that author space the impact. Recent respond marriage difference service.",https://picsum.photos/800/600,https://picsum.photos/1200/800,2026-07-21T14:30:44.312717,2026-07-25T18:52:22.686795,On going,,Gedung B,227,32,False,False,2026-07-03T22:40:03.821346,2026-07-26T19:13:19.977117
