id,eventId,mahasiswaId,division,startDate,endDate
04440740-297f-4149-ae99-dcc0cec37beb,event-118,user-85,Dokumentasi,2026-10-26T01:14:18.413370,2026-11-01T22:59:39.337402
5789bf9d-ca7b-4691-8808-e8d18d47ea25,event-106,user-69,Perlengkapan,2026-10-06T19:03:39.154099,2026-10-06T23:45:48.592605
5e7adfe4-6bf5-4ecb-833d-a43a7c2d695f,event-45,user-37,Transportasi,2027-05-10T08:40:30.101904,2027-06-04T01:08:48.475965
45a110b3-a431-470c-83bf-22acbb37d795,event-49,user-84,Humas,2026-10-28T10:27:49.963594,2026-11-04T19:48:24.829317
1c65150a-d33c-4ded-9097-f638ec90e1f2,event-140,user-94,Perlengkapan,2027-02-16T19:13:10.856827,2027-02-19T04:33:04.477490
9737d11f-0261-44ce-b933-5e9e3ce27cd8,event-115,user-77,Konsumsi,2027-02-06T05:16:07.460687,2027-02-28T09:33:00.390154
1335c0f0-3480-4e43-9abe-e77d33c55723,event-40,user-57,Dokumentasi,2026-09-15T00:41:11.222125,2026-10-06T10:04:07.788387
c673d879-ad3e-4201-9dc3-d39e0cc3b7cd,event-114,user-81,Dokumentasi,2027-05-28T01:53:38.795282,2027-05-29T21:56:33.059964
b20bfc0e-8ae1-427f-a662-648d9500b4eb,event-107,user-95,Konsumsi,2027-06-14T07:35:01.612423,2027-06-29T16:48:09.348269
da853025-f9e2-426e-afa6-0fed856b9345,event-12,user-94,Humas,2027-04-11T13:23:53.990689,2027-04-17T20:31:57.758747
8ce69a6d-2aaf-47b5-bc5a-ad4df6cd95be,event-135,user-27,Perlengkapan,2027-01-03T20:32:47.303706,2027-01-05T08:42:38.854036
4bbee5d4-0348-406c-8ec1-54aa1baffa54,event-90,user-27,Perlengkapan,2026-12-12T19:34:28.584065,2027-01-01T12:45:39.594917
8284f97d-830e-44eb-89fb-92d9e98f0cf0,event-51,user-23,Keamanan,2027-03-23T18:49:34.628255,2027-03-28T11:16:56.511442
b5a863e5-1421-4dd5-ac79-4b06d4bbc59f,event-95,user-49,Dokumentasi,2027-06-12T12:52:36.431500,2027-06-15T06:01:57.842237
b843cc40-0325-452a-8c4b-8d5226e1766f,event-140,user-49,Acara,2027-02-16T12:40:08.988151,2027-03-13T21:34:21.273647
dbb72329-fa7f-4096-b174-2f1d6566b3e3,event-92,user-100,Humas,2026-08-15T02:21:50.173041,2026-09-02T10:53:21.718070
2d341fee-728b-4807-9410-59165a73f89d,event-62,user-59,Keamanan,2027-03-15T06:32:19.478257,2027-03-16T05:57:38.672550
bb089181-872a-4373-b776-0433de806c9e,event-64,user-86,Perlengkapan,2026-08-14T09:09:19.902055,2026-08-18T06:09:28.095356
aed5094f-5973-4061-ac50-386d603bda4d,event-84,user-46,Perlengkapan,2027-02-09T02:36:23.161349,2027-02-26T11:33:26.084551
34f7f283-a77d-48ee-95c6-e5d4221cb731,event-2,user-96,Transportasi,2027-03-17T13:36:42.141211,2027-03-20T07:13:29.869355
466ddf76-fff7-4788-aadf-1bec15dc5b0a,event-95,user-49,Dokumentasi,2027-06-12T23:56:28.410045,2027-06-13T18:09:11.081560
593da4f2-a8d9-47d4-b1fe-06fcce93fd6e,event-150,user-48,Humas,2026-08-03T04:10:45.874990,2026-08-04T21:15:28.029654
